#x	y	left	top
0	416	0	34
16	416	17	34
32	416	17	34
48	416	17	34
64	416	17	34
80	416	17	34
96	416	17	34
112	416	17	34
128	416	17	34
144	416	17	34
160	416	17	34
176	416	17	34
192	416	17	34
208	416	17	34
224	416	17	34
240	416	17	34
256	416	17	34
272	416	17	34
288	416	17	34
304	416	17	34
320	416	17	34
336	416	17	34
352	416	17	34
368	416	17	34
384	416	17	34
400	416	17	34
416	416	17	34
432	416	17	34
448	416	17	34
464	416	17	34
480	416	17	34
496	416	17	34
512	416	17	34
528	416	17	34
544	416	17	34
560	416	17	34
576	416	17	34
592	416	17	34
608	416	34	34
624	400	0	34
640	400	17	34
656	400	17	34
672	400	17	34
688	400	17	34
704	400	17	34
720	400	17	34
736	400	17	34
752	400	17	34
768	400	17	34
784	400	17	34
800	400	17	34
816	400	17	34
832	400	17	34
848	400	17	34
864	400	17	34
880	400	17	34
896	400	17	34
912	400	17	34
928	400	17	34
944	400	17	34
960	400	17	34
976	400	17	34
992	400	17	34
1008	400	17	34
1024	400	17	34
1040	400	17	34
1056	400	17	34
1072	400	34	34
624	416	0	51
640	416	17	51
656	416	17	51
672	416	17	51
688	416	17	51
704	416	17	51
720	416	17	51
736	416	17	51
752	416	17	51
768	416	17	51
784	416	17	51
800	416	17	51
816	416	17	51
832	416	17	51
848	416	17	51
864	416	17	51
880	416	17	51
896	416	17	51
912	416	17	51
928	416	17	51
944	416	17	51
960	416	17	51
976	416	17	51
992	416	17	51
1008	416	17	51
1024	416	17	51
1040	416	17	51
1056	416	17	51
1072	416	34	51
1152	416	0	34
1168	416	17	34
1184	416	17	34
1200	416	17	34
1216	416	17	34
1232	416	17	34
1248	416	17	34
1264	416	17	34
1280	416	17	34
1296	416	17	34
1312	416	17	34
1328	416	17	34
1344	416	17	34
1360	416	17	34
1376	416	17	34
1392	416	17	34
1408	416	17	34
1424	416	17	34
1440	416	17	34
1456	416	17	34
1472	416	17	34
1488	416	34	34
1536	416	0	34
1552	416	17	34
1568	416	17	34
1584	416	17	34
1600	416	34	34
1664	416	0	34
1680	416	17	34
1696	416	17	34
1712	416	17	34
1728	416	17	34
1744	416	17	34
1760	416	17	34
1776	416	17	34
1792	416	17	34
1808	416	17	34
1824	416	17	34
1840	416	17	34
1856	416	17	34
1872	416	17	34
1888	416	17	34
1904	416	17	34
1920	416	17	34
1936	416	17	34
1952	416	17	34
1968	416	17	34
1984	416	17	34
2000	416	17	34
2016	416	17	34
2032	416	17	34
2048	416	17	34
2064	416	17	34
2080	416	17	34
2096	416	17	34
2112	416	17	34
2128	416	17	34
2144	416	17	34
2160	416	17	34
2176	416	17	34
2192	416	17	34
2208	416	17	34
2224	416	34	34
2256	416	0	34
2272	416	17	34
2288	416	17	34
2304	416	17	34
2320	416	17	34
2336	416	17	34
2352	416	17	34
2368	416	17	34
2384	416	17	34
2400	416	17	34
2416	416	17	34
2432	416	17	34
2448	416	17	34
2464	416	17	34
2480	416	17	34
2496	416	17	34
2512	416	17	34
2528	416	17	34
2544	416	17	34
2560	416	17	34
2576	416	17	34
2592	416	17	34
2608	416	17	34
2624	416	17	34
2640	416	17	34
2656	416	17	34
2672	416	17	34
2688	416	17	34
2704	416	17	34
2720	416	17	34
2736	416	17	34
2752	416	17	34
2768	416	17	34
2784	416	17	34
2800	416	34	34
16	400	51	85
32	400	85	68
48	400	85	68
64	400	85	68
80	400	51	102
96	400	68	102
112	400	85	68
128	400	68	85
16	384	51	85
32	384	51	102
48	384	68	102
64	384	85	68
80	384	68	85
96	384	51	85
112	384	51	102
128	384	68	68
16	368	51	68
32	368	68	102
48	368	68	85
64	368	51	68
80	368	68	68
96	368	51	68
112	368	68	68
32	352	51	68
48	352	68	68
160	400	85	85
176	400	85	85
192	400	85	85
240	400	0	153				
256	400	17	153				
272	400	34	153				
288	400	68	153	
288	400	221	119
304	400	85	153				
320	400	221	119				
240	384	0	135				
256	384	17	136				
272	384	34	136				
288	384	68	153	
288	384	221	119
304	384	85	136				
320	384	221	119				
240	368	0	119				
256	368	17	119				
272	368	34	119				
288	368	68	136	
288	368	221	102
304	368	85	136				
320	368	221	119				
272	352	51	136				
288	352	68	136				
304	352	85	136				
320	352	221	119				
272	336	51	119				
288	336	68	119				
304	336	85	119				
320	336	221	102				
352	400	0	17
368	400	17	17
352	384	0	17
368	384	17	17
352	368	0	0
368	368	17	0
400	400	102	153				
416	400	119	153				
432	400	119	153				
448	400	119	153				
464	400	136	153				
480	400	17	153	
480	400	221	119
496	400	17	153				
512	400	102	153				
528	400	119	153				
544	400	119	153				
560	400	119	153				
576	400	119	153				
592	400	136	153				
608	400	221	119				
400	384	102	136				
416	384	119	136				
432	384	119	136				
448	384	119	136				
464	384	136	136				
480	384	17	136	
480	384	221	119
496	384	17	136				
512	384	102	119				
528	384	119	119				
544	384	119	119				
560	384	119	119				
576	384	119	119				
592	384	136	119				
608	384	221	102				
400	368	102	119				
416	368	119	119				
432	368	119	119				
448	368	119	119				
464	368	136	119				
480	368	17	136	
480	368	221	102
496	368	17	136				
512	368	34	136				
528	368	170	136	
528	368	221	119
544	368	170	136				
560	368	187	136				
576	368	221	119				
464	352	0	136				
480	352	17	136				
496	352	17	136				
512	352	34	136				
528	352	170	136	
528	352	221	119
544	352	170	136				
560	352	187	136				
576	352	221	119				
464	336	0	119				
480	336	17	119				
496	336	17	119				
512	336	34	119				
528	336	170	136	
528	336	221	102
544	336	170	136				
560	336	187	136				
576	336	221	119				
512	320	153	136				
528	320	170	136				
544	320	170	136				
560	320	187	136				
576	320	221	119				
512	304	153	119				
528	304	170	119				
544	304	170	119				
560	304	187	119				
576	304	221	102				
672	384	85	85	
688	384	85	85
704	384	85	85
720	384	85	85
736	384	85	85
752	384	85	85










